Frame,EAR,Pitch,Yaw,Status
426,0.222,-60088.86,4963.44,DISTRACTED
427,0.223,-60017.65,4727.11,DISTRACTED
428,0.226,-59943.83,5058.41,DISTRACTED
429,0.241,-59624.72,5679.18,DISTRACTED
430,0.237,-59692.74,5189.08,DISTRACTED
431,0.235,-59700.49,5939.15,DISTRACTED
432,0.236,-59673.09,5549.33,DISTRACTED
433,0.192,-59666.12,5307.19,DISTRACTED
434,0.201,-59547.02,5544.48,DISTRACTED
435,0.207,-59379.16,5669.58,DISTRACTED
436,0.211,-59553.69,5363.02,DISTRACTED
437,0.207,-59634.2,5031.59,DISTRACTED
438,0.213,-59549.34,5250.09,DISTRACTED
439,0.215,-59520.02,5440.56,DISTRACTED
440,0.245,-59462.25,5074.23,DISTRACTED
441,0.246,-59646.69,5024.16,DISTRACTED
442,0.247,-59558.7,4787.81,DISTRACTED
443,0.243,-59493.25,5102.59,DISTRACTED
444,0.244,-59703.29,4704.4,DISTRACTED
445,0.248,-59577.82,4749.54,DISTRACTED
446,0.25,-59586.5,4392.99,DISTRACTED
447,0.249,-59651.0,4578.74,DISTRACTED
448,0.253,-59709.53,4386.9,DISTRACTED
449,0.249,-59669.08,4214.12,DISTRACTED
450,0.252,-59717.63,3995.59,DISTRACTED
451,0.253,-59649.94,4409.75,DISTRACTED
452,0.254,-59601.11,4456.54,DISTRACTED
453,0.256,-59497.16,4722.35,DISTRACTED
454,0.253,-59697.81,4406.99,DISTRACTED
455,0.251,-59580.03,4627.48,DISTRACTED
456,0.249,-59649.21,4442.47,DISTRACTED
457,0.267,-59516.68,4480.57,DISTRACTED
458,0.273,-59673.04,4218.71,DISTRACTED
459,0.272,-59729.66,3948.84,DISTRACTED
460,0.271,-59767.92,3955.11,DISTRACTED
461,0.275,-59749.81,3840.56,DISTRACTED
462,0.278,-59794.37,3678.55,DISTRACTED
463,0.275,-59720.82,3888.98,DISTRACTED
464,0.269,-59741.81,3730.88,DISTRACTED
465,0.265,-59717.52,3873.32,DISTRACTED
466,0.267,-59912.74,3616.33,DISTRACTED
467,0.264,-59945.66,3588.78,DISTRACTED
468,0.259,-59835.82,3740.75,DISTRACTED
469,0.26,-59949.67,3606.52,DISTRACTED
470,0.259,-59811.0,4092.31,DISTRACTED
471,0.256,-59800.33,3835.36,DISTRACTED
472,0.248,-59632.3,4059.99,DISTRACTED
473,0.253,-59686.38,3536.87,DISTRACTED
474,0.252,-59749.44,3856.11,DISTRACTED
475,0.25,-59708.36,3593.82,DISTRACTED
476,0.253,-59546.71,3837.0,DISTRACTED
477,0.252,-59546.78,3751.1,DISTRACTED
478,0.252,-59547.99,4062.0,DISTRACTED
479,0.251,-59431.35,4342.48,DISTRACTED
480,0.247,-59438.4,4173.13,DISTRACTED
481,0.25,-59426.77,3760.59,DISTRACTED
482,0.252,-59397.64,3787.88,DISTRACTED
483,0.252,-59337.06,4178.79,DISTRACTED
484,0.258,-59251.62,4131.98,DISTRACTED
485,0.258,-59110.56,4391.88,DISTRACTED
