frame_number,avg_ear,pitch,yaw,status,face_detected
273,0.2214,26.62,10.69,DISTRACTED,True
274,0.2044,25.77,12.65,DROWSY,True
275,0.2067,25.28,13.85,DROWSY,True
276,0.2052,26.09,13.56,DROWSY,True
277,0.2037,27.01,12.87,DROWSY,True
278,0.2078,22.04,14.74,DROWSY,True
279,0.2199,21.77,15.28,DROWSY,True
280,0.2214,21.23,15.02,DISTRACTED,True
281,0.2095,21.42,13.83,DROWSY,True
282,0.2233,22.98,12.52,DISTRACTED,True
283,0.2157,22.25,13.39,DROWSY,True
284,0.2194,23.18,12.24,DROWSY,True
285,0.2033,22.98,11.89,DROWSY,True
286,0.1928,23.06,11.4,DROWSY,True
287,0.1877,23.33,11.73,DROWSY,True
288,0.1915,22.59,11.71,DROWSY,True
289,0.1882,22.76,11.13,DROWSY,True
290,0.1842,22.95,11.13,DROWSY,True
291,0.1871,22.76,11.06,DROWSY,True
292,0.181,22.73,11.26,DROWSY,True
293,0.1869,22.43,11.53,DROWSY,True
294,0.1809,22.62,10.69,DROWSY,True
295,0.187,20.89,12.03,DROWSY,True
296,0.1614,19.2,12.4,DROWSY,True
297,0.1812,17.42,13.09,DROWSY,True
298,0.1638,15.1,13.31,DROWSY,True
299,0.2392,15.21,15.61,DISTRACTED,True
300,0.2638,17.01,11.0,DISTRACTED,True
301,0.2824,12.64,5.72,ALERTT,True
302,0.3135,11.56,2.63,ALERTT,True
303,0.3098,9.03,0.18,ALERTT,True
304,0.2886,6.44,4.96,ALERTT,True
305,0.3059,4.83,3.45,ALERTT,True
306,0.2853,4.83,4.52,ALERTT,True
307,0.2831,3.85,5.87,ALERTT,True
308,0.2769,3.01,5.64,ALERTT,True
309,0.2709,2.79,5.8,ALERTT,True
310,0.2659,2.73,5.79,ALERTT,True
311,0.2737,3.37,7.79,ALERTT,True
312,0.2667,2.18,9.35,ALERTT,True
313,0.2528,1.24,8.49,ALERTT,True
314,0.2592,0.44,6.72,ALERTT,True
315,0.251,-0.32,6.96,ALERTT,True
316,0.2408,-1.29,7.81,ALERTT,True
317,0.2457,-2.0,7.71,ALERTT,True
318,0.2035,-3.13,5.53,DROWSY,True
319,0.1515,-3.43,7.98,DROWSY,True
320,0.1745,-2.5,9.45,DROWSY,True
321,0.1925,-0.14,12.9,DROWSY,True
322,0.199,-0.32,8.68,DROWSY,True
323,0.2027,1.38,13.9,DROWSY,True
324,0.2063,1.32,13.83,DROWSY,True
325,0.2161,1.93,13.47,DROWSY,True
326,0.2433,3.19,17.07,ALERTT,True
327,0.2438,3.83,10.05,ALERTT,True
328,0.2639,4.95,11.38,ALERTT,True
329,0.2494,4.14,9.69,ALERTT,True
